ESC signal (Âµs),Thrust (kgf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),Thrust Load Cell (mV),Burst Current Cutoff (A)
1100,0.021557709918736,16.0447118602347,0.14768635892446,6951,2.36958504532507,0.009099448884336,-0.351183708095405,0.082226190891639
1200,0.055783218088579,16.0320872911993,0.733934961037334,12471,11.7665108879175,0.004741138771,-0.316958199925562,0.497156870061104
1300,0.093767289447557,16.0151137891843,1.67239401298662,16398,26.7835810273097,0.003500929571421,-0.278974128566584,1.25434216195338
1400,0.127602047062502,15.9920467325968,2.92852412393855,19341,46.8330937782951,0.002724621156391,-0.245139370951639,2.32421914499716
1500,0.163838145460183,15.9628672393134,4.50940362852036,22020,71.9830108996787,0.002276068982384,-0.208903272553958,3.71388309927724
1600,0.215575333274995,15.9198339904569,6.85778809896545,25216,109.174825193516,0.00197459197877,-0.157166084739146,5.68598438735235
1100,0.023060142214942,16.0439574197871,0.164205000106757,7102,2.63449834688227,0.008757764607234,-0.349681275799199,0.803239767390853
1200,0.056625125193279,16.0314856159163,0.754770396267771,12478,12.100090055153,0.004679795418167,-0.316116292820863,0.753995979505036
1300,0.093620990334063,16.0122880375529,1.72624449446807,16415,27.6411242418207,0.003387026128697,-0.279120427680078,1.37099803505432
1400,0.130661584611163,15.9882996429754,3.05517155547968,19355,48.8469978188228,0.002674916034768,-0.242079833402978,2.44766608001093
1500,0.168568614567203,15.9553446839635,4.77754491205645,22224,76.2273726825074,0.002211399469619,-0.204172803446938,3.928485487942
1600,0.220974640305886,15.9106011027921,7.24278450738893,25571,115.237048990751,0.00191757011082,-0.151766777708256,6.01156764224331
1100,0.023414563681744,16.0415103071927,0.168114599517242,7212,2.69681212593741,0.008683043818732,-0.349326854332397,0.84554353389236
1200,0.057786813220234,16.0283427077792,0.772466663311774,12565,12.3813601692554,0.004667309759295,-0.314954604793907,0.782457388645301
1300,0.094434274208464,16.0082898222084,1.78767459902597,16534,28.6176122074587,0.003300005735565,-0.278307143805678,1.41997315482992
1400,0.126840027866403,15.9844564452525,3.1813406540961,19484,50.8520079034777,0.00249437634636,-0.245901390147738,2.54024904251122
1500,0.163722612501257,15.9472789052812,5.02236727946363,22270,80.0930863550555,0.002044162301721,-0.209018805512884,4.11658918739691
1600,0.2175,16.0221338855912,7,25350,112,0.00197459197877,-0.157166084739146,6
